fecha_consulta,AEROPUERTO,TIPO_OPERACION,FECHA_HORA_FORMAT,FECHA,FECHA_HORA,NRO_VUELO,NOMBRE_AEROLINEA,ID_EMPRESA,RUTA0,HORA_ESTIMADA,HORA_REAL,NRO_PUERTA,OBSERVACION,OBSERVACION_INGLES,COD_COMENTARIO,IDDW_ITINERARIO,ID_ITINERARIO,CORRELATIVO
2026-08-22 18:45:00,Jorge Wilstermann,L,2026-08-22 22:35:00,2026-08-22 00:00:00.000,2026-08-22 22:35:00.000,625,BOLIVIANA DE AVIACION,B50015,LA PAZ,22:35,,,,,77,51756018,517560,83
2026-08-22 18:42:57,Viru Viru,L,2026-08-22 22:50:00,2026-08-22 00:00:00.000,2026-08-22 22:50:00.000,652,BOLIVIANA DE AVIACION,B50015,COCHABAMBA,20:30,22:50,,NUEVA HORA,NEW TIME,18,94653319,946533,131
2026-08-22 18:45:00,El Alto,L,2026-08-22 22:55:00,2026-08-22 00:00:00.000,2026-08-22 22:55:00.000,685,BOLIVIANA DE AVIACION,B50015,SAO PAULO - BUENOS AIRES - SANTA CRUZ,22:55,,1,,,11,406831720,4068317,89
2026-08-22 18:42:57,Viru Viru,L,2026-08-22 23:00:00,2026-08-22 00:00:00.000,2026-08-22 23:00:00.000,127,COPA AIRLINES,C1U036,PANAMA  -  TOCUMEN,22:40,23:00,,CONFIRMADO,CONFIRMED,82,94652119,946521,132
2026-08-22 18:45:00,El Alto,L,2026-08-22 23:05:00,2026-08-22 00:00:00.000,2026-08-22 23:05:00.000,624,BOLIVIANA DE AVIACION,B50015,SUCRE - TARIJA - COCHABAMBA,23:05,,2,,,11,406831620,4068316,90
2026-08-22 18:45:00,Jorge Wilstermann,S,2026-08-22 23:10:00,2026-08-22 00:00:00.000,2026-08-22 23:10:00.000,626,BOLIVIANA DE AVIACION,B50015,LA PAZ,23:10,,,,,76,51758618,517586,84
2026-08-22 18:42:57,Viru Viru,L,2026-08-22 23:15:00,2026-08-22 00:00:00.000,2026-08-22 23:15:00.000,656,BOLIVIANA DE AVIACION,B50015,COCHABAMBA,23:15,,,EN HORARIO,ON TIME,8,94653419,946534,133
2026-08-22 18:42:57,Viru Viru,S,2026-08-22 23:20:00,2026-08-22 00:00:00.000,2026-08-22 23:20:00.000,685,BOLIVIANA DE AVIACION,B50015,LA PAZ,21:50,23:20,4A,DEMORADO,DELAYED,54,94657019,946570,134
2026-08-22 18:45:00,El Alto,S,2026-08-22 23:35:00,2026-08-22 00:00:00.000,2026-08-22 23:35:00.000,629,BOLIVIANA DE AVIACION,B50015,COCHABAMBA,23:35,,R18,,,19,406833520,4068335,92
2026-08-22 18:45:00,El Alto,S,2026-08-22 23:35:00,2026-08-22 00:00:00.000,2026-08-22 23:35:00.000,988,BOLIVIANA DE AVIACION,B50015,SANTA CRUZ,23:35,,N5,,,19,406833420,4068334,91
2026-08-22 18:42:57,Viru Viru,L,2026-08-22 23:40:00,2026-08-22 00:00:00.000,2026-08-22 23:40:00.000,688,BOLIVIANA DE AVIACION,B50015,LA PAZ,23:40,,,EN HORARIO,ON TIME,8,94654119,946541,135
2026-08-22 18:42:57,Viru Viru,S,2026-08-22 23:45:00,2026-08-22 00:00:00.000,2026-08-22 23:45:00.000,659,BOLIVIANA DE AVIACION,B50015,COCHABAMBA,23:45,,4,EN HORARIO,ON TIME,35,94656519,946565,136
2026-08-22 18:45:00,El Alto,L,2026-08-22 23:55:00,2026-08-22 00:00:00.000,2026-08-22 23:55:00.000,626,BOLIVIANA DE AVIACION,B50015,SAO PAULO - SUCRE - TARIJA - COCHABAMBA,23:55,,1,,,11,406831820,4068318,93
