fecha_consulta,AEROPUERTO,TIPO_OPERACION,FECHA_HORA_FORMAT,FECHA,FECHA_HORA,NRO_VUELO,NOMBRE_AEROLINEA,ID_EMPRESA,RUTA0,HORA_ESTIMADA,HORA_REAL,NRO_PUERTA,OBSERVACION,OBSERVACION_INGLES,COD_COMENTARIO,IDDW_ITINERARIO,ID_ITINERARIO,CORRELATIVO
2026-09-01 12:10:24,Viru Viru,S,2026-09-01 19:00:00,2026-09-01 00:00:00.000,2026-09-01 19:00:00.000,128,ECO JET,E3U024,LA PAZ,19:00,,1A,EN HORARIO,ON TIME,35,94756519,947565,127
2026-09-01 12:10:24,Jorge Wilstermann,L,2026-09-01 18:45:00,2026-09-01 00:00:00.000,2026-09-01 18:45:00.000,619,BOLIVIANA DE AVIACION,B50015,LA PAZ,18:45,,,,,77,51790618,517906,73
2026-09-01 12:10:24,Jorge Wilstermann,L,2026-09-01 18:35:00,2026-09-01 00:00:00.000,2026-09-01 18:35:00.000,649,BOLIVIANA DE AVIACION,B50015,SAO PAULO - MADRID - BUENOS AIRES - SANTA CRUZ,18:35,,,,,77,51789318,517893,72
2026-09-01 12:10:24,El Alto,L,2026-09-01 18:30:00,2026-09-01 00:00:00.000,2026-09-01 18:30:00.000,677,BOLIVIANA DE AVIACION,B50015,SAO PAULO - SANTA CRUZ,18:30,,1-C1,,,11,406876320,4068763,71
2026-09-01 12:10:24,Sucre,S,2026-09-01 18:30:00,2026-09-01 00:00:00.000,2026-09-01 18:30:00.000,587,BOLIVIANA DE AVIACION,B50015,SANTA CRUZ,18:30,,N5,EN HORARIO,ON TIME,35,50160422,501604,12
2026-09-01 12:10:24,Viru Viru,S,2026-09-01 18:30:00,2026-09-01 00:00:00.000,2026-09-01 18:30:00.000,651,BOLIVIANA DE AVIACION,B50015,COCHABAMBA,18:30,,1,EN HORARIO,ON TIME,35,94753719,947537,126
2026-09-01 12:10:24,Viru Viru,L,2026-09-01 18:20:00,2026-09-01 00:00:00.000,2026-09-01 18:20:00.000,303,ECO JET,E3U024,RIBERALTA - TRINIDAD,18:20,,,EN HORARIO,ON TIME,8,94752219,947522,125
2026-09-01 12:10:24,Viru Viru,L,2026-09-01 18:15:00,2026-09-01 00:00:00.000,2026-09-01 18:15:00.000,1650,BOLIVIANA DE AVIACION,B50015,COCHABAMBA,18:05,18:15,,NUEVA HORA,NEW TIME,18,94757319,947573,124
2026-09-01 12:10:24,El Alto,S,2026-09-01 18:00:00,2026-09-01 00:00:00.000,2026-09-01 18:00:00.000,619,BOLIVIANA DE AVIACION,B50015,COCHABAMBA - SUCRE - TARIJA,18:00,,N5,,,19,406877820,4068778,70
2026-09-01 12:10:24,Sucre,L,2026-09-01 17:55:00,2026-09-01 00:00:00.000,2026-09-01 17:55:00.000,586,BOLIVIANA DE AVIACION,B50015,SANTA CRUZ,17:55,,1,EN HORARIO,ON TIME,8,50160122,501601,11
2026-09-01 12:10:24,Viru Viru,S,2026-09-01 17:50:00,2026-09-01 00:00:00.000,2026-09-01 17:50:00.000,649,BOLIVIANA DE AVIACION,B50015,COCHABAMBA,17:50,,4A,EN HORARIO,ON TIME,35,94753619,947536,123
2026-09-01 12:10:24,Jorge Wilstermann,S,2026-09-01 17:45:00,2026-09-01 00:00:00.000,2026-09-01 17:45:00.000,1650,BOLIVIANA DE AVIACION,B50015,SANTA CRUZ,16:50,17:45,,DEMORADO,DELAYED,26,51793218,517932,71
2026-09-01 12:10:24,Trinidad,S,2026-09-01 17:30:00,2026-09-01 00:00:00.000,2026-09-01 17:30:00.000,303,ECO JET,E3U024,SANTA CRUZ,17:30,,N1,EN HORARIO,ON TIME,22,1075490731,10754907,28
2026-09-01 12:10:24,Viru Viru,S,2026-09-01 17:25:00,2026-09-01 00:00:00.000,2026-09-01 17:25:00.000,677,BOLIVIANA DE AVIACION,B50015,LA PAZ,17:25,,4,EN HORARIO,ON TIME,35,94752919,947529,122
2026-09-01 12:10:24,Jorge Wilstermann,L,2026-09-01 17:20:00,2026-09-01 00:00:00.000,2026-09-01 17:20:00.000,325,BOLIVIANA DE AVIACION,B50015,ORURO,15:35,17:20,,APROXIMADO,APROX,80,51790418,517904,70
2026-09-01 12:10:24,El Alto,L,2026-09-01 17:10:00,2026-09-01 00:00:00.000,2026-09-01 17:10:00.000,618,BOLIVIANA DE AVIACION,B50015,ORURO - SUCRE - TRINIDAD - COCHABAMBA,17:10,,2,,,11,406876220,4068762,69
